country,period,n_art,deepseek,lexicon,lss,negativity,relations
Australia,1951-10-29,1,0,0.00116822,0.574246,0.6,-3.3
Australia,1951-11-05,1,0,0,0.100564,0.3,-3.3
Australia,1951-11-12,3,0,0,0.0826476666666667,0.1,-3.3
Australia,1951-11-19,0,0,0,0,0,-3.3
Australia,1951-11-26,0,0,0,0,0,-3.3
Australia,1951-12-03,1,0,0,-0.364094,0.3,-3.3
Australia,1951-12-10,0,0,0,0,0,-3.3
Australia,1951-12-17,1,0,0,0.042295,0.7,-3.3
Australia,1951-12-24,0,0,0,0,0,-3.3
Australia,1951-12-31,0,0,0,0,0,-3.3
Australia,1952-01-07,0,0,0,0,0,-3.3
Australia,1952-01-14,0,0,0,0,0,-3.3
Australia,1952-01-21,0,0,0,0,0,-3.3
Australia,1952-01-28,0,0,0,0,0,-3.3
Australia,1952-02-04,0,0,0,0,0,-3.3
Australia,1952-02-11,0,0,0,0,0,-3.3
Australia,1952-02-18,0,0,0,0,0,-3.3
Australia,1952-02-25,0,0,0,0,0,-3.3
Australia,1952-03-03,0,0,0,0,0,-3.3
Australia,1952-03-10,1,0,0,1.242619,0.85,-3.3
Australia,1952-03-17,1,0,0,2.159859,0.95,-3.3
Australia,1952-03-24,2,0,0,1.8839215,0.575,-3.3
Australia,1952-03-31,2,0,0,1.373424,0.85,-3.3
Australia,1952-04-07,0,0,0,0,0,-3.3
Australia,1952-04-14,0,0,0,0,0,-3.3
Australia,1952-04-21,3,0,0,0.124036666666667,0,-3.3
Australia,1952-04-28,2,0,0,0.2296555,0.05,-3.3
Australia,1952-05-05,4,0.0125,0,0.56406025,0.2875,-3.3
Australia,1952-05-12,1,0,0,0.279286,0.1,-3.3
Australia,1952-05-19,2,0.025,0,1.2947215,0.525,-3.3
Australia,1952-05-26,8,0.00625,0,0.049166875,0.21875,-3.3
Australia,1952-06-02,7,0,0,0.13285,0.0857142857142857,-3.3
Australia,1952-06-09,3,0.00333333333333333,0,0.260276666666667,0.166666666666667,-3.3
Australia,1952-06-16,0,0,0,0,0,-3.3
Australia,1952-06-23,1,0,0,0.929481,0.1,-3.3
Australia,1952-06-30,0,0,0,0,0,-3.3
Australia,1952-07-07,1,0,0,0.905573,0,-3.3
Australia,1952-07-14,0,0,0,0,0,-3.3
Australia,1952-07-21,1,0.05,0,1.12689,0.85,-3.3
Australia,1952-07-28,1,0,0,0.017322,0.2,-3.3
Australia,1952-08-04,2,0,0,0.604469,0.45,-3.3
Australia,1952-08-11,2,0.025,0,0.965917,0.8,-3.3
Australia,1952-08-18,1,0,0,0.096104,0.3,-3.3
Australia,1952-08-25,1,0,0,0.755141,0.4,-3.3
Australia,1952-09-01,4,0,0,0.43558625,0.5,-3.3
Australia,1952-09-08,2,0,0,0.8074975,0.5,-3.3
Australia,1952-09-15,4,0,0,0.82765075,0.5875,-3.3
Australia,1952-09-22,2,0,0,0.277523,0,-3.3
Australia,1952-09-29,7,0.00285714285714286,0.000138831428571429,0.448591571428571,0.421428571428571,-3.3
Australia,1952-10-06,5,0,0,0.2673628,0.48,-3.3
Australia,1952-10-13,4,0.0125,0,-0.0712005,0.025,-3.3
Australia,1952-10-20,2,0,0,0.095411,0.1,-3.3
Australia,1952-10-27,1,0,0,0.084659,0,-3.3
Australia,1952-11-03,1,0,0,0.803351,0.7,-3.3
Australia,1952-11-10,0,0,0,0,0,-3.3
Australia,1952-11-17,0,0,0,0,0,-3.3
Australia,1952-11-24,0,0,0,0,0,-3.3
Australia,1952-12-01,0,0,0,0,0,-3.3
Australia,1952-12-08,0,0,0,0,0,-3.3
Australia,1952-12-15,2,0.04,0,0.6179235,0.85,-3.3
Australia,1952-12-22,0,0,0,0,0,-3.3
Australia,1952-12-29,1,0.05,0,-0.342992,0.8,-3.3
Australia,1953-01-05,1,0,0,0.238733,0.1,-3.3
Australia,1953-01-12,1,0,0,0.651902,0,-3.3
Australia,1953-01-19,1,0,0,0.521656,0.1,-3.3
Australia,1953-01-26,1,0,0,0.457498,0.1,-3.3
Australia,1953-02-02,1,0,0,0.339439,0,-3.3
Australia,1953-02-09,0,0,0,0,0,-3.3
Australia,1953-02-16,1,0.02,0,1.074201,0.7,-3.3
Australia,1953-02-23,0,0,0,0,0,-3.3
Australia,1953-03-02,1,0,0,0.446312,0.8,-3.3
Australia,1953-03-09,0,0,0,0,0,-3.3
Australia,1953-03-16,0,0,0,0,0,-3.3
Australia,1953-03-23,0,0,0,0,0,-3.3
Australia,1953-03-30,2,0,0,0.247246,0.4,-3.3
Australia,1953-04-06,1,0,0,0.476312,0.3,-3.3
Australia,1953-04-13,1,0,0,-0.835039,0.3,-3.3
Australia,1953-04-20,1,0,0,-0.297994,0.3,-3.3
Australia,1953-04-27,2,0.01,0,0.1531375,0.15,-3.3
Australia,1953-05-04,2,0,0,0.151697,0.2,-3.3
Australia,1953-05-11,1,0.05,0,0.723401,0.7,-3.3
Australia,1953-05-18,0,0,0,0,0,-3.3
Australia,1953-05-25,1,0,0,-0.34074,0.1,-3.3
Australia,1953-06-01,1,0,0,0.554777,0,-3.3
Australia,1953-06-08,3,0,0,0.325602,0.0333333333333333,-3.3
Australia,1953-06-15,0,0,0,0,0,-3.3
Australia,1953-06-22,0,0,0,0,0,-3.3
Australia,1953-06-29,2,0,0,0.123627,0.05,-3.3
Australia,1953-07-06,0,0,0,0,0,-3.3
Australia,1953-07-13,0,0,0,0,0,-3.3
Australia,1953-07-20,0,0,0,0,0,-3.3
Australia,1953-07-27,2,0.085,0,1.080858,0.85,-3.3
Australia,1953-08-03,4,0,0.0005423,0.42140475,0.175,-3.3
Australia,1953-08-10,2,0,0,0.5168975,0.775,-3.3
Australia,1953-08-17,1,0,0,0.989539,0.1,-3.3
Australia,1953-08-24,2,0,0,-0.385682,0.575,-3.3
Australia,1953-08-31,1,0,0,0.156663,0.8,-3.3
Australia,1953-09-07,0,0,0,0,0,-3.3
Australia,1953-09-14,1,0,0,0.275434,0,-3.3
Australia,1953-09-21,0,0,0,0,0,-3.3
Australia,1953-09-28,0,0,0,0,0,-3.3
Australia,1953-10-05,0,0,0,0,0,-3.3
Australia,1953-10-12,1,0,0,0.464819,0.7,-3.3
Australia,1953-10-19,0,0,0,0,0,-3.3
Australia,1953-10-26,1,0,0,0.865308,0.1,-3.3
Australia,1953-11-02,0,0,0,0,0,-3.3
Australia,1953-11-09,0,0,0,0,0,-3.3
Australia,1953-11-16,0,0,0,0,0,-3.3
Australia,1953-11-23,0,0,0,0,0,-3.3
Australia,1953-11-30,4,0.0125,0,2.01740175,0.8625,-3.3
Australia,1953-12-07,0,0,0,0,0,-3.3
Australia,1953-12-14,0,0,0,0,0,-3.3
Australia,1953-12-21,0,0,0,0,0,-3.3
Australia,1953-12-28,0,0,0,0,0,-3.3
Australia,1954-01-04,0,0,0,0,0,-3.3
Australia,1954-01-11,0,0,0,0,0,-3.3
Australia,1954-01-18,0,0,0,0,0,-3.3
Australia,1954-01-25,0,0,0,0,0,-3.3
Australia,1954-02-01,0,0,0,0,0,-3.3
Australia,1954-02-08,0,0,0,0,0,-3.3
Australia,1954-02-15,0,0,0,0,0,-3.3
Australia,1954-02-22,0,0,0,0,0,-3.3
Australia,1954-03-01,0,0,0,0,0,-3.3
Australia,1954-03-08,1,0,0.00588235,0.963261,0.85,-3.3
Australia,1954-03-15,0,0,0,0,0,-3.3
Australia,1954-03-22,0,0,0,0,0,-3.3
Australia,1954-03-29,0,0,0,0,0,-3.3
Australia,1954-04-05,0,0,0,0,0,-3.3
Australia,1954-04-12,1,0.05,0,1.469483,0.85,-3.3
Australia,1954-04-19,2,0.035,0,0.7949525,0.825,-3.3
Australia,1954-04-26,1,0,0,0.907075,0.6,-3.3
Australia,1954-05-03,1,0,0,1.191014,0.85,-3.3
Australia,1954-05-10,2,0,0,0.398262,0.525,-3.3
Australia,1954-05-17,1,0.05,0,1.284335,0.85,-3.3
Australia,1954-05-24,1,0.05,0.00078555,0.887538,0.85,-3.3
Australia,1954-05-31,1,0.05,0,0.329948,0.85,-3.3
Australia,1954-06-07,1,0.02,0.0027933,1.151976,0.85,-3.2
Australia,1954-06-14,1,0,0,0.229298,0.1,-3.2
Australia,1954-06-21,0,0,0,0,0,-3.2
Australia,1954-06-28,1,0,0,0.285303,0.3,-3.2
Australia,1954-07-05,2,0,0,0.2843545,0.1,-3.2
Australia,1954-07-12,1,0.05,0,-0.036933,0.7,-3.2
Australia,1954-07-19,1,0,0,0.375005,0,-3.2
Australia,1954-07-26,1,0,0,0.949028,0.85,-3.2
Australia,1954-08-02,3,0.0666666666666667,0,1.09577433333333,0.833333333333333,-3.2
Australia,1954-08-09,0,0,0,0,0,-3.2
Australia,1954-08-16,0,0,0,0,0,-3.2
Australia,1954-08-23,2,0.01,0,0.810672,0.8,-3.2
Australia,1954-08-30,1,0.01,0.00539084,1.317535,0.8,-3.2
Australia,1954-09-06,4,0.015,0.0003776425,1.2777235,0.8125,-3.4
Australia,1954-09-13,1,0.05,0.00089928,1.313759,0.85,-3.4
Australia,1954-09-20,0,0,0,0,0,-3.4
Australia,1954-09-27,4,0.0125,0,0.56411975,0.3375,-3.4
Australia,1954-10-04,1,0,0,0.534775,0,-3.4
Australia,1954-10-11,0,0,0,0,0,-3.4
Australia,1954-10-18,0,0,0,0,0,-3.4
Australia,1954-10-25,0,0,0,0,0,-3.4
Australia,1954-11-01,1,0,0,0.461131,0.1,-3.4
Australia,1954-11-08,1,0,0,-0.485486,0.1,-3.4
Australia,1954-11-15,0,0,0,0,0,-3.4
Australia,1954-11-22,2,0,0,0.239311,0.05,-3.4
Australia,1954-11-29,0,0,0,0,0,-3.4
Australia,1954-12-06,0,0,0,0,0,-3.4
Australia,1954-12-13,1,0.05,0,1.500126,0.8,-3.4
Australia,1954-12-20,0,0,0,0,0,-3.4
Australia,1954-12-27,1,0,0,0.642058,0,-3.4
Australia,1955-01-03,1,0.05,0,1.534964,0.85,-3.4
Australia,1955-01-10,1,0,0,1.084134,0.3,-3.4
Australia,1955-01-17,0,0,0,0,0,-3.4
