iso3,country,lat,lon
ECU,Ecuador,-1.42410985165357,-78.7492983194314
EGY,Egypt,26.4598029034498,29.878269665946
SLV,El Salvador,13.7398637238293,-88.8709570680797
GNQ,Equatorial Guinea,1.70540563315078,10.3417277952996
ERI,Eritrea,15.3611244617467,38.8572739522595
EST,Estonia,58.6729024249373,25.5450328773432
SWZ,Eswatini,-26.5575464893394,31.4818696110519
ETH,Ethiopia,8.61440065046904,39.6097922858362
FRO,Faroe Islands,62.0522625084494,-6.88046144495061
FJI,Fiji,-17.4275460095833,178.512028234471
FIN,Finland,64.2551360000276,26.1949730974537
FRA,France,42.9551401765111,-6.67614112511506
PYF,French Polynesia,-14.7131078768821,-144.785420742858
GAB,Gabon,-0.586446577901779,11.7887417210203
GMB,Gambia,13.4509534899632,-15.3963233373991
GEO,Georgia,42.1729419848756,43.5242560266282
DEU,Germany,51.050577200392,10.3643715892926
GHA,Ghana,7.94769971258465,-1.21698964043326
GRC,Greece,39.0479596036559,22.9642854423063
GRL,Greenland,73.081215345691,-41.8136722836678
GRD,Grenada,12.1172424375072,-61.6822117719329
GUM,Guam,13.441629384257,144.767851880511
GTM,Guatemala,15.6901195768513,-90.3672121179679
GIN,Guinea,10.4373187488031,-10.9342459875925
GNB,Guinea-Bissau,12.0477507880705,-14.9499240572075
GUY,Guyana,4.78964290760044,-58.9799209927187
HTI,Haiti,18.9345751364594,-72.6867625279039
HND,Honduras,14.8290802781538,-86.6176147864756
HUN,Hungary,47.1659125111368,19.3792677656756
ISL,Iceland,64.9978841276929,-18.5800336616341
IND,India,22.7766430396087,79.5639109318103
IDN,Indonesia,-2.26406781358278,117.179729805139
IRN,Iran,32.5273359415473,54.4408756038135
IRQ,Iraq,33.0096664024513,43.7736761003991
IRL,Ireland,53.1625330764791,-8.14571833620769
ISR,Israel,31.4329786422529,34.9911381968011
ITA,Italy,42.7156861458039,12.2010485047317
JAM,Jamaica,18.1574508726766,-77.3143958314286
JPN,Japan,37.4608804755929,137.660006265981
JOR,Jordan,31.2387026418374,36.7576835839012
KAZ,Kazakhstan,48.361670914496,67.2455026221889
KEN,Kenya,0.59944883650654,37.7962282671581
KIR,Kiribati,0.892900808860013,-167.91969916077
KWT,Kuwait,29.3332785751823,47.5877796783928
KGZ,Kyrgyzstan,41.4743103595433,74.5090861383837
LAO,Laos,18.4874182025194,103.774934403725
LVA,Latvia,56.8595216457843,24.920447008392
LBN,Lebanon,33.9215988682257,35.8776957956409
LSO,Lesotho,-29.5790637000742,28.2289621090948
LBR,Liberia,6.45195766531815,-9.31983261845304
LBY,Libya,27.0167163927208,18.0667932182187
LIE,Liechtenstein,47.136626593862,9.53575260107776
LTU,Lithuania,55.3237700619849,23.8970998775749
LUX,Luxembourg,49.7667823716717,6.07215816476921
MDG,Madagascar,-19.3164836985713,46.7428900543882
MWI,Malawi,-13.2044253711777,34.2828475261884
MYS,Malaysia,3.81114043306724,109.699342970706
MDV,Maldives,3.72846117440526,73.4570805481231
MLI,Mali,17.315139014512,-3.59047300916167
MLT,Malta,35.9214721226706,14.4053767867687
MHL,Marshall Islands,7.00279122625452,170.342582533878
MRT,Mauritania,20.2206937677679,-10.3699167351723
MUS,Mauritius,-20.2776195850018,57.5712646954906
