resolution,index,country,as_of,latest,ewma_baseline,alarm_3p,alarm_3p_alert,alarm_5p,alarm_5p_alert,cusum,cusum_alert
Daily,deepseek,Japan,2026-07-20,0.1,0.0145,0.37,NORMAL,0.21,NORMAL,1.12,NORMAL
Daily,deepseek,Jordan,2026-07-20,0.0,0.0001,-0.04,NORMAL,-0.04,NORMAL,0.0,NORMAL
Daily,deepseek,Kazakhstan,2026-07-20,0.0,0.001,-0.23,NORMAL,-0.01,NORMAL,0.0,NORMAL
Daily,deepseek,Kenya,2026-07-20,0.0,0.0003,-0.19,NORMAL,-0.19,NORMAL,0.0,NORMAL
Daily,deepseek,Kiribati,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Kuwait,2026-07-20,0.0,0.0002,-0.08,NORMAL,-0.08,NORMAL,0.0,NORMAL
Daily,deepseek,Kyrgyzstan,2026-07-20,0.0,0.0007,-0.2,NORMAL,-0.2,NORMAL,2.87,NORMAL
Daily,deepseek,Laos,2026-07-20,0.0,0.0007,-0.14,NORMAL,-0.14,NORMAL,0.0,NORMAL
Daily,deepseek,Latvia,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Lebanon,2026-07-20,0.0,0.0001,-0.12,NORMAL,-0.12,NORMAL,0.0,NORMAL
Daily,deepseek,Lesotho,2026-07-20,0.0,0.0001,-0.05,NORMAL,-0.05,NORMAL,0.0,NORMAL
Daily,deepseek,Liberia,2026-07-20,0.0,0.0,-0.02,NORMAL,-0.02,NORMAL,0.0,NORMAL
Daily,deepseek,Libya,2026-07-20,0.0,0.0,-0.05,NORMAL,-0.05,NORMAL,0.0,NORMAL
Daily,deepseek,Liechtenstein,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Lithuania,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Luxembourg,2026-07-20,0.0,0.0,-0.04,NORMAL,-0.04,NORMAL,0.0,NORMAL
Daily,deepseek,Madagascar,2026-07-20,0.01,0.0002,2.68,YELLOW,1.54,NORMAL,7.97,RED
Daily,deepseek,Malawi,2026-07-20,0.0,0.0,-0.04,NORMAL,-0.04,NORMAL,0.0,NORMAL
Daily,deepseek,Malaysia,2026-07-20,0.0,0.0025,-0.09,NORMAL,-0.09,NORMAL,0.0,NORMAL
Daily,deepseek,Maldives,2026-07-20,0.0,0.0003,-0.07,NORMAL,-0.07,NORMAL,0.0,NORMAL
Daily,deepseek,Mali,2026-07-20,0.0,0.0,-0.06,NORMAL,-0.06,NORMAL,0.0,NORMAL
Daily,deepseek,Malta,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Marshall Islands,2026-07-20,0.0,0.0,-0.03,NORMAL,-0.03,NORMAL,0.0,NORMAL
Daily,deepseek,Martinique,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Mauritania,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Mauritius,2026-07-20,0.0,0.0,-0.04,NORMAL,-0.04,NORMAL,0.0,NORMAL
Daily,deepseek,Mexico,2026-07-20,0.0,0.0002,-0.15,NORMAL,-0.15,NORMAL,0.43,NORMAL
Daily,deepseek,Micronesia (Federated States of),2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Moldova,2026-07-20,0.0,0.0,-0.07,NORMAL,-0.07,NORMAL,0.0,NORMAL
Daily,deepseek,Monaco,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Mongolia,2026-07-20,0.0,0.0002,-0.1,NORMAL,-0.1,NORMAL,0.0,NORMAL
Daily,deepseek,Montenegro,2026-07-20,0.0,0.0,-0.08,NORMAL,-0.08,NORMAL,0.0,NORMAL
Daily,deepseek,Morocco,2026-07-20,0.0,0.0001,-0.03,NORMAL,-0.03,NORMAL,0.0,NORMAL
Daily,deepseek,Mozambique,2026-07-20,0.0,0.0002,-0.16,NORMAL,-0.16,NORMAL,1.94,NORMAL
Daily,deepseek,Myanmar (Burma),2026-07-20,0.0,0.0006,-0.17,NORMAL,-0.17,NORMAL,0.0,NORMAL
Daily,deepseek,Namibia,2026-07-20,0.0,0.0003,-0.1,NORMAL,-0.1,NORMAL,0.0,NORMAL
Daily,deepseek,Nauru,2026-07-20,0.0,0.0002,-0.02,NORMAL,-0.02,NORMAL,0.0,NORMAL
Daily,deepseek,Nepal,2026-07-20,0.0,0.0002,-0.16,NORMAL,-0.16,NORMAL,0.0,NORMAL
Daily,deepseek,Netherlands,2026-07-20,0.0,0.0001,-0.1,NORMAL,-0.1,NORMAL,0.0,NORMAL
Daily,deepseek,New Caledonia,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,New Zealand,2026-07-20,0.0,0.0003,-0.09,NORMAL,-0.09,NORMAL,0.0,NORMAL
Daily,deepseek,Nicaragua,2026-07-20,0.0,0.0,-0.06,NORMAL,-0.06,NORMAL,0.0,NORMAL
Daily,deepseek,Niger,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Nigeria,2026-07-20,0.0,0.0003,-0.1,NORMAL,-0.1,NORMAL,0.0,NORMAL
Daily,deepseek,Niue,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,North Korea,2026-07-20,0.0,0.0009,-0.11,NORMAL,-0.11,NORMAL,0.0,NORMAL
Daily,deepseek,North Macedonia,2026-07-20,0.0,0.0001,-0.09,NORMAL,-0.09,NORMAL,0.0,NORMAL
